ZIP,X,Y,CITY,STATE,ZIPID
01060,-72.63138889,42.31861111,Northampton,MA,1
01101,-72.57805556,42.10611111,Springfield,MA,2
01420,-71.80222222,42.58361111,Fitchburg,MA,3
01510,-71.68277778,42.41666667,Clinton,MA,4
01570,-71.88555556,42.04805556,Webster,MA,5
01581,-71.61583333,42.26944444,Westborough,MA,6
01606,-71.81916667,42.2925,Worcester,MA,7
01701,-71.41583333,42.27694444,Framingham,MA,8
01730,-71.27666667,42.49138889,Bedford,MA,9
01752,-71.54055556,42.34611111,Marlborough,MA,10
01772,-71.52361111,42.30527778,Southborough,MA,11
01801,-71.17972222,42.46583333,Woburn,MA,12
01821,-71.27527778,42.52777778,Billerica,MA,13
01843,-71.18638889,42.67055556,Lawrence,MA,14
01845,-71.14111111,42.66638889,North Andover,MA,15
01854,-71.35666667,42.62916667,Lowell,MA,16
01867,-71.1025,42.52833333,Reading,MA,17
01876,-71.22638889,42.60527778,Tewksbury,MA,18
01886,-71.43833333,42.57916667,Westford,MA,19
01887,-71.17555556,42.54555556,Wilmington,MA,20
01890,-71.13611111,42.45583333,Winchester,MA,21
01910,-70.96388889,42.46222222,Lynn,MA,22
01970,-70.92638889,42.4975,Salem,MA,23
01984,-70.88583333,42.5825,Wenham,MA,24
02108,-71.06194444,42.35805556,Boston,MA,25
02110,-71.0375,42.34694444,Boston,MA,26
02111,-71.06444444,42.35055556,Boston,MA,27
02114,-71.06777778,42.36444444,Boston,MA,28
02115,-71.08694444,42.34805556,Boston,MA,29
02116,-71.08111111,42.34777778,Boston,MA,30
02120,-71.10777778,42.32861111,Boston,MA,31
02129,-71.06388889,42.3775,Charlestown,MA,32
02132,-71.15805556,42.28916667,West Roxbury,MA,33
02134,-71.12638889,42.35472222,Allston,MA,34
02135,-71.1625,42.34361111,Brighton,MA,35
02138,-71.12194444,42.3725,Cambridge,MA,36
02139,-71.12944444,42.34611111,Cambridge,MA,37
02142,-71.10916667,42.34361111,Cambridge,MA,38
