ORDERID,FROMZIP,TOZIP,CUBE,DayOfWeek,ST required?
0,1887,1887, (Depot) ,(Depot),(Depot)
1,1887,1801,333,Wed,no
2,1887,1821,556,Fri,no
3,1887,1843,903,Fri,no
4,1887,1845,111,Tue,no
5,1887,1867,206,Thu,no
6,1887,1876,2699,Wed,no
7,1887,1887,491,Tue,no
8,1887,1910,100,Tue,no
9,1887,2139,182,Tue,no
10,1887,2215,203,Tue,no
11,1887,2493,3153,Fri,no
12,1887,2914,608,Wed,no
13,1887,3431,117,Wed,no
14,1887,6032,1479,Mon,no
15,1887,6095,157,Mon,no
16,1887,6156,255,Fri,no
17,1887,6320,343,Fri,no
18,1887,6830,394,Tue,no
19,1887,6902,896,Fri,no
20,1887,1581,111,Mon,no
21,1887,1821,1396,Thu,no
22,1887,1845,286,Tue,no
23,1887,2129,1676,Mon,no
24,1887,2370,2077,Wed,no
25,1887,2451,2614,Thu,no
26,1887,2481,409,Tue,no
27,1887,2914,1594,Wed,no
28,1887,2110,85,Mon,yes
29,1887,6340,199,Tue,no
30,1887,6108,205,Fri,no
31,1887,2142,173,Thu,yes
32,1887,2493,152,Mon,yes
33,1887,2116,247,Tue,yes
34,1887,2215,301,Tue,yes
35,1887,6156,236,Wed,no
36,1887,6103,102,Thu,yes
37,1887,1801,128,Wed,no
38,1887,2155,143,Wed,no
39,1887,6091,257,Tue,no
40,1887,6415,213,Mon,no
41,1887,6035,163,Fri,no
42,1887,2115,135,Tue,yes
43,1887,2110,152,Wed,no
44,1887,6340,164,Fri,no
45,1887,6108,242,Mon,no
46,1887,2142,137,Thu,yes
47,1887,2111,121,Fri,yes
48,1887,6524,396,Wed,no
49,1887,6320,256,Tue,no
50,1887,6033,131,Tue,no
51,1887,2116,135,Tue,yes
52,1887,6032,180,Tue,no
53,1887,6927,112,Wed,no
54,1887,6517,283,Wed,no
55,1887,6096,112,Wed,no
56,1887,3101,94,Thu,no
57,1887,6457,180,Tue,no
58,1887,6183,183,Mon,yes
59,1887,2129,187,Fri,no
60,1887,6854,110,Tue,no
61,1887,6492,103,Thu,no
62,1887,2903,241,Wed,no
63,1887,6510,112,Thu,yes
64,1887,6824,143,Fri,no
65,1887,2917,212,Wed,no
66,1887,1984,197,Tue,no
67,1887,6241,102,Mon,no
